STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/4/75,,,,,,,0,",,0,0700",0,",,0,",9,",,0,",34,",,0",16,",,0",20,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/5/75,,,,,,,0,",,0,0700",0,",,0,",8,",,0,",32,",,0",16,",,0",20,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/6/75,,,,,,,0,",,0,0700",0,",,0,",7,",,0,",37,",,0",16,",,0",23,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/7/75,,,,,,,0,",,0,0700",0,",,0,",6,",,0,",39,",,0",20,",,0",26,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/8/75,,,,,,,0,",,0,0700",0,",,0,",4,",,0,",46,",,0",22,",,0",29,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/9/75,,,,,,,0,",,0,0700",0,",,0,",2,",,0,",45,",,0",26,",,0",29,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/10/75,,,,,,,0,",,0,0700",0,",,0,",1,",,0,",41,",,0",28,",,0",32,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/11/75,,,,,,,0,",,0,0700",0,",,0,",0,"T,,0,",48,",,0",24,",,0",28,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/12/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",43,",,0",21,",,0",25,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/13/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",43,",,0",23,",,0",29,",,0,0700",,,,,,,,,,,,,,
